  3.87866256414216241E-003  0.99422098649047319       2.10021671263386882E-002  6.75801872764464906E-002  1.25264993059897977E-002  1.89215364310654222E-002  6.75479123490383120E-003  4.41587518013435779E-002  5.88739852056525889E-002  2.31849663159220121E-002
  7.44253558271193091E-003  0.99422807586300299       2.10022048476003718E-002  6.74864179839352596E-002  1.25197449083168082E-002  1.88479031046537883E-002  6.75465578636551961E-003  4.41638638577972475E-002  5.88754240035095633E-002  2.31620721453786385E-002
  1.07737751720023006E-002  0.99423447458319958       2.10022296699609486E-002  6.73995215382327401E-002  1.25134424645019175E-002  1.87806380268845802E-002  6.75456413241393855E-003  4.41717187898599054E-002  5.88767655133191903E-002  2.31419174639005340E-002
  1.39303618550534018E-002  0.99424033254315469       2.10022438132193047E-002  6.73178737864601057E-002  1.25074820967466561E-002  1.87183533682548087E-002  6.75450874030827497E-003  4.41818992085073470E-002  5.88780333008920645E-002  2.31239776219450965E-002
  1.69542177271209994E-002  0.99424575525905357       2.10022487444608795E-002  6.72403106220171437E-002  1.25017845303302920E-002  1.86600659926873039E-002  6.75448462535582772E-003  4.41941401481555710E-002  5.88792443558889336E-002  2.31078891841919147E-002
  1.98762561837147814E-002  0.99425081852349118       2.10022454480802007E-002  6.71659816191396003E-002  1.24962915051312802E-002  1.86050672704912122E-002  6.75448844013713454E-003  4.42082704021336328E-002  5.88804111556808785E-002  2.30933968946133682E-002
  2.27196427265638004E-002  0.99425557767021500       2.10022345902212380E-002  6.70942559986494186E-002  1.24909595707049133E-002  1.85528397161513064E-002  6.75451791885682377E-003  4.42241776663193573E-002  5.88815429999104897E-002  2.30803199795740592E-002
  2.55019682365890191E-002  0.99426007363025781       2.10022166224581829E-002  6.70246602507499484E-002  1.24857559438214579E-002  1.85030018765184115E-002  6.75457152640360995E-003  4.42417871216110384E-002  5.88826469008570802E-002  2.30685300418393482E-002
  2.82367375432098396E-002  0.99426433700536565       2.10021918491216791E-002  6.69568355988822417E-002  1.24806556672339627E-002  1.84552708742270616E-002  6.75464823008494787E-003  4.42610479009776930E-002  5.88837281937472437E-002  2.30579361507934656E-002
  3.09344135462245665E-002  0.99426839087614616       2.10021604721192801E-002  6.68905082894603736E-002  1.24756396145102831E-002  1.84094363311293127E-002  6.75474734741493901E-003  4.42819243418783107E-002  5.88847909650840537E-002  2.30484745414412974E-002
  3.36031649114626324E-002  0.99427225277942155       2.10021226213997561E-002  6.68254684034803037E-002  1.24706930599449341E-002  1.83653418316340293E-002  6.75486844248265623E-003  4.43043902307003745E-002  5.88858383594985449E-002  2.30401013481966108E-002
  3.62494111888778878E-002  0.99427593612604748       2.10020783760156739E-002  6.67615544714275228E-002  1.24658046351149923E-002  1.83228715065448210E-002  6.75501125417804233E-003  4.43284249668334518E-002  5.88868728035241359E-002  2.30327873873912431E-002
  3.88782264289101176E-002  0.99427945123329231       2.10020277788861565E-002  6.66986421282706327E-002  1.24609655558012827E-002  1.82819401720309312E-002  6.75517564579349115E-003  4.43540109857610276E-002  5.88878961713054441E-002  2.30265143539131606E-002
  4.14936419950270446E-002  0.99428280608634279       2.10019708472542442E-002  6.66366356371897173E-002  1.24561690417027467E-002  1.82424859861209029E-002  6.75536156925346434E-003  4.43811320230061562E-002  5.88889099089199564E-002  2.30212720133731244E-002
  4.40988763009058232E-002  0.99428600690608981       2.10019075801527420E-002  6.65754614862051480E-002  1.24514098760372272E-002  1.82044649192199086E-002  6.75556903952284019E-003  4.44097719477902983E-002  5.88899151286831485E-002  2.30170561072829613E-002
  4.66965107486849787E-002  0.99428905857624972       2.10018379637627803E-002  6.65150635058812251E-002  1.24466840682123641E-002  1.81678465517828673E-002  6.75579811619594732E-003  4.44399139867780874E-002  5.88909126813466771E-002  2.30138667765505504E-002
  4.92886255220696679E-002  0.99429196496700933       2.10017619752717530E-002  6.64553991182024878E-002  1.24419885934640498E-002  1.81326108557690394E-002  6.75604889020716120E-003  4.44715402167079749E-002  5.88919032117954655E-002  2.30117073665378757E-002
  5.18769050719877500E-002  0.99429472918170358       2.10016795856538714E-002  6.63964364363748283E-002  1.24373211906374844E-002  1.80987457135295612E-002  6.75632147422511320E-003  4.45046312428854923E-002  5.88928872022851518E-002  2.30105835159712738E-002
  5.44627204940075146E-002  0.99429735374572181       2.10015907616726040E-002  6.63381520109781186E-002  1.24326802043218786E-002  1.80662449946588054E-002  6.75661599571217991E-003  4.45391660060045977E-002  5.88938650061791510E-002  2.30105024588289526E-002
  5.70471941353557915E-002  0.99429984075171229       2.10014954673192998E-002  6.62805290711629413E-002  1.24280644611053787E-002  1.80351070583410628E-002  6.75693259191928290E-003  4.45751216770440828E-002  5.88948368743807404E-002  2.30114724871221706E-002
  5.96312504419861944E-002  0.99430219197153091       2.10013936648426984E-002  6.62235561475332524E-002  1.24234731722548154E-002  1.80053335822111457E-002  6.75727140628824569E-003  4.46124736119857812E-002  5.88958029761105228E-002  2.30135025358650658E-002
  6.22156560866198166E-002  0.99430440894275085       2.10012853154818713E-002  6.61672259909979327E-002  1.24189058569801562E-002  1.79769286430873088E-002  6.75763258587699488E-003  4.46511953464440517E-002  5.88967634152810643E-002  2.30166018612061665E-002
  6.48010517066845981E-002  0.99430649303564078       2.10011703799849736E-002  6.61115347221521016E-002  1.24143622818073483E-002  1.79498979927902418E-002  6.75801627952596785E-003  4.46912586162267547E-002  5.88977182434279600E-002  2.30207797897875044E-002
